feature_name,percent_missing
% Minute Volume,99.84193888303477
ABI Ankle BP L ,99.94731296101159
ABI Ankle BP R,99.94731296101159
ABI Brachial BP L,99.94731296101159
ABI Brachial BP R ,99.94731296101159
ABPd,54.004214963119075
ABPm,53.79346680716544
ABPs,54.004214963119075
ACT,99.73656480505795
ALT,72.6027397260274
APACHEIII,99.84193888303477
ART BP Diastolic,95.31085353003161
ART BP Mean,95.36354056902002
ART BP Systolic,95.20547945205479
ART Lumen Volume,99.57850368809272
AST,72.6554267650158
ATC %,99.84193888303477
AUG,99.42044257112751
Absolute Count - Basos,97.83983140147524
Absolute Count - Eos,97.83983140147524
Absolute Count - Lymphs,97.83983140147524
Absolute Count - Monos,97.83983140147524
Absolute Count - Neuts,97.83983140147524
Absolute Neutrophil Count,99.73656480505795
Access Pressure,99.4731296101159
Activity HR - Aerobic Capacity,99.89462592202318
Activity RR - Aerobic Activity Response,99.94731296101159
Activity RR - Aerobic Capacity,99.89462592202318
Albumin,76.71232876712328
Alkaline Phosphate,73.39304531085352
Ammonia,99.63119072708113
Amylase,94.99473129610116
Anion gap,1.7386722866174922
Apache IV A-aDO2,99.94731296101159
ApacheIV_LOS,99.84193888303477
Apnea Interval,49.94731296101159
Arctic Sun Water Temp,98.99894625922023
Arctic Sun/Alsius Set Temp,98.68282402528978
Arctic Sun/Alsius Temp #1 C,98.63013698630137
Arctic Sun/Alsius Temp #2 C,98.840885142255
Arterial Base Excess,53.79346680716544
BUN,1.7386722866174922
Baseline Current/mA,98.52476290832455
BiPap EPAP,99.20969441517387
BiPap IPAP,99.26238145416228
BiPap O2 Flow,99.26238145416228
Bladder Pressure,98.7881981032666
Bladder Scan Estimate,99.63119072708113
Blood Flow (ml/min),99.4731296101159
Blood Temp CCO (C),98.26132771338251
Brain Natiuretic Peptide (BNP),98.840885142255
C Reactive Protein (CRP),99.63119072708113
CFI (PiCCO),99.78925184404636
CI (PiCCO),99.68387776606954
CK (CPK),77.81875658587987
CK-MB,81.29610115911485
CK-MB fraction (%),95.15279241306638
CO (Arterial),99.42044257112751
CO (CCO),98.2086406743941
CO (PiCCO),99.68387776606954
CO (thermodilution),99.15700737618546
CO / CI Change,99.57850368809272
CO2 production,98.63013698630137
CPP,96.89146469968388
CVP,87.67123287671232
Calcium non-ionized,4.1622760800842995
Cardiac Index (CI NICOM),99.15700737618546
Cardiac Output (CO NICOM),99.3677555321391
Central Venous O2% Sat,99.15700737618546
Cerebral T (C),99.68387776606954
Chloride (serum),1.5806111696522656
Chloride (whole blood),89.46259220231823
Cholesterol,98.36670179135933
Citrate (ACD-A),99.52581664910431
Compliance,99.26238145416228
Cortisol,98.36670179135933
Creatinine (serum),1.6859852476290833
Creatinine (whole blood),99.94731296101159
Cuff Pressure,68.75658587987355
Cuff Volume (mL),98.1559536354057
Current Goal,99.4731296101159
Current Used/mA,97.83983140147524
D-Dimer,99.4731296101159
DIA - Assisted,99.42044257112751
DIA - Unassisted,99.42044257112751
Dialysate Rate,99.4731296101159
Differential - Immature Granulocytes,98.52476290832455
Differential-Atyps,96.4172813487882
Differential-Bands,95.89041095890411
Differential-Basos,83.50895679662803
Differential-Eos,83.50895679662803
Differential-Lymphs,83.50895679662803
Differential-Monos,83.50895679662803
Differential-Neuts,83.50895679662803
Digoxin,98.840885142255
Direct Bilirubin,97.83983140147524
Doppler BP,99.94731296101159
Dwell Time (Hours),99.73656480505795
ELWI (PiCCO),99.73656480505795
Effluent Pressure,99.4731296101159
Epidural Bolus (mL),99.26238145416228
Epidural Infusion Rate (mL/hr),98.68282402528978
Epidural Total Dose (mL),99.63119072708113
EtCO2,98.05057955742888
Expiratory Ratio,63.013698630136986
FK506,99.57850368809272
FiO2,40.042149631190725
Fibrinogen,91.20126448893572
Filter Pressure,99.4731296101159
Flow Rate (L/min),96.20653319283456
Fspn High,50.47418335089568
GEDI (PiCCO),99.68387776606954
GI #1 Tube Mark (CM),94.83667017913594
GI #2 Tube Mark (CM),99.89462592202318
GI pH,99.68387776606954
Gentamicin (Random),99.89462592202318
Glucose (serum),1.791359325605901
Glucose (whole blood),74.92096944151739
Glucose FS (range 70 -100),21.07481559536354
HCO3 (serum),1.7386722866174922
HDL,98.36670179135933
HR,0.26343519494204426
Hematocrit (serum),2.1601685985247627
Hematocrit (whole blood - calc),89.2518440463646
Hemodialysis Output,98.7881981032666
Hemoglobin,2.2655426765015805
Heparin Dose (per hour),99.68387776606954
Hourly PFR,99.4731296101159
IABP Volume,99.42044257112751
IC2,99.89462592202318
ICP,96.73340358271865
INR,27.766069546891465
IT,59.32560590094837
Inspiratory Ratio,63.171759747102215
Inspired Gas Temp.,84.29926238145416
Ionized Calcium,65.22655426765016
LDH,84.61538461538461
LDL calculated,98.41938883034773
LDL measured,99.89462592202318
Lactic Acid,60.85353003161222
Lipase,93.51949420442571
MAP - Assisted,99.42044257112751
MDI #1 Puff,95.62697576396207
MDI #2 Puff,98.1559536354057
MDI #3 Puff,99.94731296101159
Magnesium,3.0031612223393047
Manual BPd L,99.42044257112751
